customer_id,fico_score,loan_amount,tenure_months,state,plan_type,monthly_income,date_issued,loan_status,loan_status_flag,credit_utilization,has_bankruptcy
1001,705.0,25762.0,12,WA,Family,2597.57,2023-07-12,Current,0,0.47,0
1002,673.0,25466.0,6,CA,Individual,3324.52,2023-04-25,Current,0,0.64,0
1003,712.0,12044.0,6,FL,Individual,4769.09,2023-03-11,Current,0,0.87,0
1004,756.0,26699.0,6,NC,Business,3893.14,2023-11-02,Current,0,0.33,0
1005,668.0,37328.0,12,CA,Business,6779.72,2023-12-02,Current,0,0.52,0
1006,668.0,17258.0,6,TX,Business,5572.76,2023-04-07,Current,0,0.78,0
1007,759.0,40485.0,12,WA,Family,8531.12,2023-08-04,Current,0,0.18,0
1008,718.0,34878.0,24,CA,Business,4505.63,2023-11-11,Current,0,0.56,0
1009,657.0,22658.0,12,MI,Individual,4755.6,2023-08-12,Current,0,0.23,0
1010,707.0,28585.0,24,WA,Business,7420.77,2023-11-26,Default,1,0.59,0
1011,657.0,45983.0,24,CA,Family,4818.16,2023-11-15,Default,1,0.79,0
1012,657.0,37335.0,12,FL,Business,7988.01,2023-10-08,Default,1,0.31,0
1013,692.0,30088.0,24,NC,Individual,6081.66,2023-11-29,Current,0,0.86,0
1014,584.0,27623.0,24,NC,Family,1000.0,2023-05-09,Current,0,0.4,0
1015,594.0,30766.0,12,FL,Individual,7355.14,2023-04-09,Current,0,0.27,0
1016,652.0,24882.0,12,WA,Individual,6825.45,2023-09-27,Current,0,0.52,0
1017,629.0,8953.0,12,IL,Family,6902.67,2023-09-04,Default,1,0.89,0
1018,696.0,50422.0,36,NY,Business,1178.04,2023-07-05,Current,0,0.16,1
1019,635.0,31553.0,24,NY,Business,3674.02,2023-09-01,Current,0,0.39,0
1020,609.0,33981.0,6,TX,Business,3822.59,2023-02-07,Current,0,0.69,0
1021,753.0,29421.0,24,IL,Individual,3317.76,2023-09-14,Current,0,0.42,0
1022,669.0,22649.0,12,NY,Business,8483.85,2023-12-06,Current,0,0.16,0
1023,683.0,28141.0,12,WA,Business,4976.46,2023-09-05,Current,0,0.4,0
1024,609.0,14006.0,24,NY,Family,4926.88,2023-05-13,Current,0,0.84,0
1025,653.0,52771.0,12,TX,Family,6104.02,2023-02-13,Current,0,0.97,0
1026,686.0,17655.0,24,CA,Family,6138.6,2023-07-12,Default,1,0.14,0
1027,622.0,19680.0,24,NY,Family,1000.0,2023-02-26,Current,0,0.61,0
1028,699.0,25597.0,24,WA,Individual,3707.28,2023-09-05,Current,0,0.19,0
1029,650.0,42881.0,6,WA,Family,2174.42,2023-04-14,Current,0,0.71,0
1030,665.0,30145.0,24,TX,Business,5800.61,2023-02-14,Current,0,0.11,0
1031,650.0,17639.0,36,NC,Individual,4422.22,2023-03-01,Current,0,0.11,0
1032,773.0,42543.0,6,MI,Individual,5030.78,2023-03-07,Current,0,0.8,0
1033,679.0,37310.0,12,TX,Business,1000.0,2023-08-11,Current,0,0.17,1
1034,627.0,35384.0,12,MI,Family,4380.3,2023-02-16,Current,0,0.37,0
1035,721.0,37157.0,24,FL,Family,7230.26,2023-08-26,Current,0,0.96,0
1036,619.0,53944.0,24,FL,Business,7818.9,2023-01-26,Current,0,0.99,0
1037,690.0,51851.0,6,NC,Individual,6437.73,2023-11-03,Current,0,0.25,0
1038,582.0,23133.0,24,FL,Business,2329.07,2023-04-04,Current,0,0.6,1
1039,614.0,46239.0,6,MI,Individual,7518.8,2023-04-20,Current,0,0.6,1
1040,690.0,33832.0,24,CA,Family,6448.0,2023-09-18,Current,0,0.51,0
1041,717.0,34991.0,12,WA,Family,4765.62,2023-09-11,Current,0,0.93,1
1042,689.0,13077.0,12,NC,Business,1000.0,2023-10-22,Current,0,0.78,0
1043,674.0,28296.0,6,FL,Business,6907.19,2023-11-20,Current,0,0.79,0
1044,665.0,21872.0,6,WA,Business,3815.67,2023-02-09,Current,0,0.34,0
1045,606.0,38281.0,24,TX,Business,5692.33,2023-10-19,Default,1,0.49,0
1046,644.0,40711.0,12,NC,Family,5136.79,2023-09-11,Current,0,0.54,0
1047,657.0,9255.0,6,CA,Individual,8076.79,2023-04-07,Current,0,0.37,0
1048,733.0,29780.0,6,TX,Family,4749.27,2023-01-26,Current,0,0.19,0
1049,697.0,41219.0,6,WA,Individual,4969.77,2023-04-14,Current,0,0.21,1
1050,592.0,28133.0,24,IL,Family,8157.23,2023-04-13,Current,0,0.26,0
1051,696.0,37291.0,24,MI,Individual,3683.56,2023-03-16,Current,0,0.28,0
1052,661.0,33512.0,6,IL,Individual,6628.65,2023-03-26,Current,0,0.32,0
1053,646.0,33417.0,12,FL,Business,4602.77,2023-08-02,Current,0,0.33,0
1054,711.0,27287.0,6,IL,Individual,2994.92,2023-04-23,Default,1,0.51,0
1055,732.0,17834.0,36,TX,Family,5002.32,2023-11-08,Current,0,0.56,0
1056,727.0,18785.0,36,NC,Individual,6383.41,2023-02-26,Current,0,0.38,0
1057,638.0,37094.0,24,MI,Family,7707.42,2023-04-11,Current,0,0.92,0
1058,665.0,30195.0,36,IL,Family,7949.39,2023-09-07,Current,0,0.6,0
1059,697.0,28615.0,24,NY,Business,4410.47,2023-05-15,Default,1,0.81,1
1060,729.0,25761.0,24,CA,Business,3025.5,2023-05-21,Current,0,0.93,0
1061,656.0,26948.0,12,WA,Family,4362.52,2023-03-25,Current,0,0.25,0
1062,671.0,40469.0,12,NC,Individual,2636.94,2023-07-26,Current,0,0.49,0
1063,625.0,26648.0,12,MI,Individual,4565.23,2023-08-18,Current,0,0.49,0
1064,620.0,16589.0,12,NC,Family,4316.67,2023-12-22,Current,0,0.42,0
1065,721.0,37437.0,24,FL,Individual,6454.98,2023-10-29,Current,0,0.11,0
1066,748.0,27951.0,6,TX,Individual,1000.0,2023-03-02,Current,0,0.83,0
1067,676.0,30314.0,12,CA,Business,3532.78,2023-08-05,Current,0,0.2,1
1068,730.0,46076.0,12,FL,Business,3548.96,2023-02-25,Current,0,1.0,0
1069,698.0,29794.0,12,TX,Business,7374.25,2023-01-29,Current,0,0.8,0
1070,648.0,32892.0,12,IL,Individual,2772.31,2023-04-21,Current,0,0.62,0
1071,698.0,18211.0,36,MI,Individual,5453.31,2023-04-02,Current,0,0.24,0
1072,757.0,27803.0,24,WA,Business,4743.74,2023-05-22,Default,1,0.56,0
1073,678.0,36095.0,24,MI,Business,7086.09,2023-04-12,Current,0,0.33,0
1074,758.0,14446.0,12,NY,Individual,6191.66,2023-03-12,Current,0,0.33,0
1075,549.0,32008.0,12,NC,Individual,5242.49,2023-01-13,Default,1,0.85,0
1076,721.0,31008.0,6,NY,Individual,3890.67,2023-06-06,Default,1,0.44,1
1077,684.0,30413.0,24,NC,Family,1295.31,2023-03-22,Current,0,0.51,0
